Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT,iHomer
Flags,0.3869051255633065,0.3381686612818287,0.3116493609980206,0.4000728152410409,0.27182155788935,0.2887741052400585,0.27182155788935,0.5129346142432873,0.3521921681707504,0.2858360647706097,0.3359426468576016,0.3861104388534018,0.3993931537086373,0.4088974830867938,0.3462393824147389,0.3389490100267837,0.4000728152410409,0.334325397
WaterQuality,0.3195295297809247,0.2995335562470674,0.4191240767760474,0.3208032858670774,0.326916440043084,0.3281241326712761,0.320670128261348,0.3939442993089107,0.3354384788763564,0.2908054687263172,0.2922864753874485,0.3186557207191189,0.3161038920396167,0.3797915869886423,0.3946866898196532,0.3414091104955206,0.3246333531262907,0.310675039
Emotions,0.3392499066591897,0.2896565196266957,0.2652932656191972,0.423299804433815,0.2454111546044813,0.2423271969970407,0.2493278145681176,0.4374264321833674,0.3129247347289324,0.2311093933987519,0.2731194281952722,0.4109797094906016,0.4148986656257577,0.3017085658716463,0.4115451595167644,0.2638654749942179,0.423299804433815,0.311888638
VirusGO,0.127990308869015,0.1190997143763519,0.2576259700505183,0.129563176731297,0.1988615371985133,0.1496483356210263,0.1996705986871864,0.7649087741337841,0.1586780767969893,0.1859953132784776,0.0587441120848234,0.1319934970120459,0.1287812815366925,0.1545068037780422,0.2407547003464875,0.205324970310879,0.1319903611973164,0.058479532
Birds,0.0844800739927067,0.0657918870067937,0.0536725008017316,0.1004980485827864,0.0534287914910704,0.0536725045242386,0.0535084484417149,0.3311030342088886,0.0554598518496352,0.0509076004243935,0.0588730778606531,0.0752917571746566,0.0889557463870864,0.1077605218243255,0.0531850796987379,0.0532663165492368,0.1011480452320004,0.066126856
Yeast,0.2269838691139968,0.2266909520982326,0.2923832584918736,0.2286334129978591,0.2175447513526796,0.2179538234741551,0.2181041810373294,0.2789020937812981,0.2318105923092945,0.2162177956433935,0.2301041569730975,0.2290158264062091,0.2286921306247007,0.2292776613403451,0.2696118492337878,0.2405159700915642,0.2248380823181096,0.221155267
Scene,0.0207450067722502,0.0671319833647867,0.2214734656541946,0.0300494986822141,0.1579881340704114,0.1363306074138027,0.0900850743052464,0.2868586763178644,0.0982983522437839,0.0608568167081542,0.0499720644414244,0.0309453361253761,0.0312211500096192,0.0735383442232401,0.2794344819861898,0.1509699247014165,0.0395605915005103,0.002923977
Human,0.021904312247917,0.0617098469453463,0.234494011508944,0.0195473131676959,0.0816000930429792,0.0724892274086057,0.0790819212977876,0.1692618454266675,0.0720345858702832,0.0420711700658875,0.0552578483689501,0.0199594256002535,0.0196388042377906,0.054499917223282,0.1081787230197228,0.1182511650304002,0.02316381210872,0.019463921
Yelp,0.1106334306269252,0.2078784303444619,0.2805346522117561,0.1533076941591545,0.2461682827720062,0.2173997410023509,0.1868087357058744,0.3188611327050022,0.2882918606909754,0.1256070565356809,0.1923718799935143,0.133010863879554,0.1316107429965665,0.216060696457369,0.2904063564089142,0.2851206710097691,0.1403416535285079,0.100875274
Medical,0.0218122036557998,0.0219068771691883,0.0275434632780416,0.0235138014858219,0.0203437943178835,0.0199139179315583,0.0172656069892733,0.3841328212434293,0.0251428688691766,0.0250073740274188,0.0182160666921453,0.0249846065788272,0.0251434155978277,0.0161573470009136,0.0376592358279082,0.0276339492813799,0.0231511461784147,0.018726054
Eukaryote,0.0105248761348163,0.0256527459466345,0.2215249117121921,0.0103504602588892,0.0441565940313314,0.0317272723196725,0.0342841381840342,0.1299093464417202,0.0451992859054473,0.0173056462008108,0.0296073497728739,0.0096688508590598,0.0097911779476162,0.0220942003558371,0.0707405346593704,0.0766063876469202,0.0117193061822732,0.003246753
Slashdot,0.0475485167900455,0.0755742078542305,0.0534460101080827,0.0530752325179616,0.0526802537156598,0.0530873211163292,0.0514013020289198,0.2309522960077032,0.0536971964786486,0.0499889971108488,0.0470108040708115,0.0531350270548731,0.0532307203510795,0.0576093357158185,0.0845961636319817,0.0532665655042344,0.0515921064813297,0.054088924
Enron,0.0639706262059687,0.0591151696811498,0.0677706643586009,0.0492258223345951,0.055649879942719,0.0560247251706821,0.0584968087025879,0.2421032471988519,0.060164050542647,0.0531217198942156,0.0519296324523059,0.0482210460503607,0.0480885478224218,0.0534856315974418,0.0688731278008473,0.060516029112307,0.0488171963697827,0.065077642
Hypercube,0.0003791063797484,0.0002169170543563,0.0065254222131606,0.0025074815457708,0.0159732585181112,0.0065751738311321,0.0127851707863524,0.5093275772911201,9.552310650555192e-05,0.0003880626201788,6.766220044143224e-05,0.0013621993000635,0.0012696612906362,0.0015751322812121,0.0419089829055275,0.0377746917167775,0.0120627787689283,0.0
Langlog,0.022178187885847,0.0175137257380714,0.0156768493942595,0.0155495555044319,0.0156768493942639,0.0156768493942595,0.0161043811582779,0.4342851982249952,0.0164314197125591,0.0159678090077616,0.0164041427169027,0.0155223029245614,0.0155586717051272,0.0255070268124639,0.0160404951735399,0.0165501941447365,0.0154950338448377,0.019757576
Tmc,0.0696842764926819,0.0835636881850915,0.0914405148935453,0.066437106271573,0.0798750897371132,0.0813699401656505,0.0908348680938101,0.0934587628591838,0.0865008831467974,0.0759557308592706,0.0796188004151164,0.0636501047147017,0.0645121311371199,0.0697523207397876,0.1167287695945216,0.0842739705699647,0.065761631176957,0.068095226
Ohsumed,0.0694121885710404,0.0775037145698396,0.0856740083337405,0.0657781734291797,0.0649020271982471,0.0649207250320499,0.0729345922423424,0.0806932505946605,0.0715834876527384,0.0677567014430062,0.071946950554764,0.0637807902114239,0.0642934452078432,0.0911611965711585,0.0993988813663098,0.0758790050655864,0.0649114942454738,0.070215353
D20ng,0.0331438358465883,0.0532312407115967,0.0512283682199173,0.0477017206859274,0.0441932098134366,0.0457450451287664,0.0486710414132153,0.0593847756912628,0.0491582287376033,0.04691274869257,0.0481991174063628,0.0417336430916752,0.0428292616301903,0.0475748548742911,0.0925498218804153,0.0641954019866528,0.0440719149480263,0.02964
Bibtex,0.0153334869557724,0.015180404899417,0.0150348421909853,0.0134851274373372,0.0153623280199934,0.0159336095062481,0.0200056775472004,0.0460715503830201,0.0146302527279522,0.0137940609176154,0.0141207301146473,0.013599385211414,0.01359854948915,0.0181689158969549,0.0204261829785666,0.0175553501535829,0.0134910488324775,0.014569336
Nuswidec,0.0199076287904922,0.021575278401531,0.0345656269675177,0.0226103800130484,0.0222382343948482,0.0223693323227994,0.0298884484279926,999999999999.0,0.0229818146576392,0.0215259377425647,999999999999.0,0.0224458697936866,0.0224464612870661,999999999999.0,0.0231392560921561,0.0239622843166373,0.0221132735656413,0.015012786
Imdb,0.091713631412601,0.0804097633518789,0.3483216377641168,0.0711704373743868,0.0763155693789855,0.077392980862452,0.083565256348095,0.0765033532748963,0.0710825658159213,0.0717279453457286,999999999999.0,0.0711536896032101,0.0712230500087798,0.0985371723697283,0.0807186238767142,0.0709250411431642,0.0712104085863311,0.08600244
Average,0.10019191089274444,0.1051002516597405,0.15976204197840208,0.10700858803437445,0.1098622776631985,0.1046407889111502,0.10501503581505027,47619047619.27528,0.11532363232812556,0.0928028292101741,95238095238.09161,0.10310571860262259,0.1043466981257774,47619047619.1156,0.1498486903920407,0.12413388018341578,0.10730694561270401,0.08906409480952382
