Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT,iHomer
Flags,0.5856783203557192,0.6422986874431912,0.6420589705296293,0.5750844419720647,0.7098684347958159,0.6950839195426097,0.7098684347958159,0.6501847774468128,0.6215137975389784,0.7030865041278881,0.6410660820307752,0.5868853943439559,0.5812101058719257,0.5330192339739349,0.6165654375040053,0.6304315075756664,0.5750844419720647,0.641870351
WaterQuality,0.5512384615840028,0.5605322881569421,0.5492283727636293,0.5521697191151075,0.4202551875680899,0.4361532196643081,0.458783534500623,0.3517257735646089,0.3567585428333626,0.5333530725627553,0.5087088384642595,0.5492410477599424,0.5528928670895621,0.4651729747789662,0.2575621043394024,0.3824622866304168,0.5471747628985324,0.546592331
Emotions,0.4445601219388351,0.4842296412267847,0.6285383359546899,0.318713363948518,0.5731280265275158,0.5753838248736154,0.5455052066483248,0.3892634131913715,0.0327187717363791,0.5467337075612854,0.413082485080446,0.2995967412408388,0.3093104406730126,0.5575050660658954,0.3416744773750885,0.5374219471843129,0.318713363948518,0.463430421
VirusGO,0.6939540061249396,0.7077905322902889,0.1201501237056319,0.6131067776435093,0.2657721671077631,0.5329516532235852,0.2649820419168162,0.3441228825892367,0.5156544002071124,0.4248163820314621,0.8486280910645052,0.6012254167344528,0.6181042154379777,0.5838878234088745,0.3441451297477848,0.2283256237161735,0.6031242184366066,0.846153846
Birds,0.1327519308097659,0.1642696107230501,0.0,0.1762449267133377,0.0,0.0,0.1221105726227467,0.0807594146197581,0.0653994361825937,0.1152569596172748,0.1077889304142319,0.1738707688427485,0.1537979723896787,0.1557731895964329,0.0,0.0,0.17528228160342,0.108527132
Yeast,0.5975535735204076,0.5904885077151074,0.545440644226904,0.487591189624092,0.5992315986015575,0.5967679102398287,0.5885272506875576,0.4518855647004564,0.476593498622236,0.5738464525276956,0.485263243924879,0.4864420174961277,0.4887895251025571,0.6127379966772823,0.5360053721344096,0.5828272078395218,0.5025754911913711,0.607956032
Scene,0.9363844730757392,0.802662676376995,0.5788950784141347,0.9078822944153992,0.5015604633752722,0.5913946091247715,0.715054347544849,0.2689771820493223,0.6510838370886041,0.8174366859757128,0.844951453056525,0.9051941643268792,0.9044299515694127,0.7834236631761347,0.1869463797573779,0.6036072369004603,0.8788536206067048,0.991304348
Human,0.862426021350857,0.5961919530636107,0.2962914615545237,0.8729370943804728,0.4160872323645419,0.5151830557845549,0.4659046104275776,0.1649903384851347,0.3197097488191578,0.7091771999080259,0.5700152257500589,0.8695338976768948,0.8716923745699166,0.6628872034975604,0.3024528575611733,0.256251226471794,0.8491758527861926,0.875619542
Yelp,0.8249450853153217,0.6532349262099774,0.4850230521489457,0.7550320761320968,0.6144291891059669,0.6628616565033911,0.7014570205639055,0.4575753971809593,0.4803970236868502,0.7965318450998833,0.6694163048807564,0.7840047423263461,0.785438101495658,0.6967685074991092,0.5124770845795426,0.5871340851814821,0.7728965892304778,0.829038515
Medical,0.5841516259869923,0.5016193607446664,0.0032581567048376,0.3153793007718527,0.5200702588430033,0.5337767149949265,0.6361459604723108,0.0866894169732987,0.2869180900624519,0.2169639200709446,0.5741950577591985,0.2149188361903801,0.2003642059065233,0.6840154765929172,0.2403822596871067,0.0032475240743751,0.3241123356290895,0.626660108
Eukaryote,0.8922893539799972,0.730872885234911,0.239165377477574,0.891044880203546,0.5443822312655424,0.6849732426563837,0.6463238702340266,0.0731565133058573,0.4856877252478847,0.810862191085945,0.6554986616964271,0.8977264316163627,0.8965592595293211,0.775776133044316,0.2696998323806975,0.2420485553614293,0.8762387542469088,0.96200485
Slashdot,0.4584331319838737,0.1559184652129973,0.0,0.0304323867804923,0.1058160040783973,0.1717829353636859,0.2442541120106184,0.0638532695605435,0.0122587934602721,0.1403064074775612,0.259966671624829,0.0128236994625976,0.0097410921980392,0.4172496926126912,0.1422740454241841,0.0092975121101581,0.0742833540980667,0.329960135
Enron,0.4358710475328892,0.3743187449153443,0.435839775821947,0.4991749860144566,0.4292672669719449,0.431436900438126,0.4424604921328678,0.1287305202290998,0.3025776428789299,0.4480188375605259,0.4507135870374966,0.5097872053738831,0.5110129177978643,0.5203422822050164,0.2970559111233747,0.2759451573288547,0.5002521813227708,0.395032984
Hypercube,0.9931310765579732,0.993940377110642,0.9630991774185176,0.98249899179279,0.9165171706798844,0.962477735057151,0.931002667542631,0.0277482179388294,0.994547283969125,0.9930842714281792,0.9946865950651624,0.9882109150264312,0.9886733934037262,0.9871480720735936,0.785496723472566,0.8061674700383346,0.9334401713944542,1.0
Langlog,0.1329046379761479,0.0736616757992917,0.0,0.0539321013403435,0.0,0.0,0.0991525399860477,0.014856350721955,0.0108900017630901,0.0033874902149428,0.0119855637729651,0.0348658554548659,0.0358688249315825,0.1268761086211231,0.0022506643423071,0.0478761225227174,0.0613541842439597,0.057803468
Stackex,0.2573260905736736,0.1267379721838384,0.0014798401034104,0.1106370817050557,0.0107314187483426,0.0249615131650382,0.1624126830355774,0.0179123756173642,0.0211128010930265,0.0434197466905624,0.0495780883169696,0.1293816204384029,0.128997735897559,0.3102765319460313,0.1459753952181787,0.0,0.132812812376436,0.122719735
Tmc,0.6379215808186864,0.4865711418904408,0.322210594189085,0.6177332369916102,0.5286723521960973,0.5254145313392541,0.4630782146663837,0.3254657307875258,0.424037477100267,0.5159403221043848,0.5027468318992598,0.629288246185574,0.6210454447267009,0.6409445804221113,0.1974136849400179,0.438702185691372,0.6074081966590685,0.648456077
Ohsumed,0.4452470840250108,0.0646539218327046,0.3012429349619089,0.195797670128699,0.3588868282832776,0.3849128707201673,0.3245479076443119,0.1857804040372877,0.0259867880368286,0.147355428140485,0.0061475521192251,0.2573109552479614,0.247141312883298,0.38225151302227,0.1365927281302973,0.3076591034761924,0.229076132979972,0.421594274
