Dataset,MLHAT,KNN,NB,AMR,HT,HAT,EFDT,SGT,MT,ARF,AMF,ABALR,ABOLR,MLBELS,MLHT,MLHTPS,iSOUPT,iHomer
Flags,0.0619412383489298,0.072316495780761,0.077510470800918,0.0206121078968311,0.1136037678786958,0.0929118715860546,0.1136037678786958,0.0103039462523271,0.0310167717220503,0.1238491138666343,0.072283003472366,0.0257641133922871,0.0309748021973493,0.0309665008901653,0.1290471564951659,0.0258773940964922,0.0206121078968311,0.069444444
WaterQuality,0.0187908047289886,0.0197288601937111,0.0028180473078862,0.0206721990754775,0.0018785587098919,0.0018785587098919,0.0056371746686023,0.0075158386944639,0.0037584971988881,0.0206675631895252,0.0206690901034859,0.0197294476348842,0.0206735766138745,0.0,0.0084575683458662,0.0037588819632774,0.0206708368497256,0.021978022
Emotions,0.1361402049380592,0.1512698328222325,0.1781707975819138,0.0588265846717405,0.194940683755519,0.1932723629521361,0.1815199201098363,0.0420568628119085,0.0016788952216083,0.1899233306773836,0.1025327863869177,0.0621829282432188,0.0638632211096972,0.1479284796569407,0.1243567693319405,0.2218912180482457,0.0588265846717405,0.16027088
VirusGO,0.5123343040669297,0.5510813802396397,0.0771348204708756,0.4447556844673856,0.1593791762506748,0.391781707805392,0.1593791762506748,0.0339805825242718,0.3138139001236217,0.2947117849876846,0.7297544830202749,0.4253591188687369,0.4349780266388957,0.4256996763052628,0.256100346720941,0.1302529626584418,0.430192577671269,0.771929825
Birds,0.3878444817666363,0.4527047227601738,0.4480924090376632,0.2936154197332589,0.4496359091971429,0.4496359091971429,0.4542577674360769,0.3045433971815415,0.4511858684375937,0.4650882914589421,0.4372992671980965,0.397122676185253,0.3492413302554254,0.0602138814090481,0.4527229095161025,0.4511794093566229,0.2998155980806186,0.494736842
Yeast,0.1313826837532105,0.1449780778745569,0.088136371336198,0.0148290050638254,0.0720699938943928,0.0906051070762127,0.0572428457896506,0.0102993028466572,0.0144172169989038,0.0708425034480094,0.0148290047283863,0.0152407927933079,0.0152407940729937,0.1198540271825785,0.0889583884712031,0.1853337956357016,0.035012015468539,0.141675284
Scene,0.8866820848363872,0.7622009079203449,0.2778833285911288,0.8693128936096073,0.2993801522550013,0.4131642850514796,0.573621259290931,0.1195038265728602,0.4999312700424768,0.7361589747993118,0.7535037292291663,0.8668319993964467,0.8664182074118173,0.7365721646576306,0.1658197434083225,0.5222664538511711,0.8333358777671811,0.98245614
Human,0.7633489713679218,0.5072989594176265,0.1214456031488302,0.7787254384203692,0.2608730933293418,0.3567003284074597,0.2839497337030778,0.0173031564642002,0.155407979274888,0.5733072305965239,0.371056697525712,0.7764822207376905,0.7790464995357751,0.570747540817697,0.2284819785919806,0.14259083962495,0.7489233968528468,0.798568507
Yelp,0.6013522368268195,0.4296961117885359,0.1899042557194233,0.4794233705794084,0.2725958775273822,0.3402820911919938,0.4022555425752026,0.1925748790226256,0.2073825804033407,0.552084266820388,0.3702963455765826,0.542691303961481,0.5530991231700346,0.2997447686984616,0.2453402120082076,0.1719461289255066,0.5147858359188358,0.625273523
Medical,0.4349764018334789,0.3279605460261944,0.0020359350751137,0.1456686412528065,0.30054005659793,0.3270092714809518,0.4288589509724931,0.0,0.1446597856627179,0.0937298980522894,0.3545145412972839,0.0825369171007154,0.0804912121423654,0.5591742050907904,0.1568498289939789,0.0020359350751137,0.1518032335496671,0.450431034
